,ParkCode,Month,Visitors,StateCode,Full Name,Lat,Lon
100,jofi,4,1853,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
101,jofi,5,3023,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
102,jofi,6,3531,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
103,jofi,7,3702,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
104,jofi,8,2885,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
105,jofi,9,8532,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
106,jofi,10,267,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
107,jofi,11,136,MA,John Fitzgerald Kennedy National Historic Site,42.34693694,-71.12323846
108,long,0,620,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
109,long,1,851,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
110,long,2,1295,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
111,long,3,2305,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
112,long,4,5054,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
113,long,5,9337,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
114,long,6,8219,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
115,long,7,8335,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
116,long,8,8660,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
117,long,9,6296,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
118,long,10,2237,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
119,long,11,1803,MA,Longfellow House Washington's Headquarters National Historic Site,42.37698854,-71.12636956
120,lowe,0,1440,MA,Lowell National Historical Park,42.6455371,-71.31588673
121,lowe,1,35507,MA,Lowell National Historical Park,42.6455371,-71.31588673
122,lowe,2,25109,MA,Lowell National Historical Park,42.6455371,-71.31588673
123,lowe,3,24685,MA,Lowell National Historical Park,42.6455371,-71.31588673
124,lowe,4,33952,MA,Lowell National Historical Park,42.6455371,-71.31588673
125,lowe,5,30219,MA,Lowell National Historical Park,42.6455371,-71.31588673
126,lowe,6,190450,MA,Lowell National Historical Park,42.6455371,-71.31588673
127,lowe,7,52149,MA,Lowell National Historical Park,42.6455371,-71.31588673
128,lowe,8,16228,MA,Lowell National Historical Park,42.6455371,-71.31588673
129,lowe,9,19620,MA,Lowell National Historical Park,42.6455371,-71.31588673
130,lowe,10,44091,MA,Lowell National Historical Park,42.6455371,-71.31588673
131,lowe,11,8086,MA,Lowell National Historical Park,42.6455371,-71.31588673
132,mima,0,37648,MA,Minute Man National Historical Park,42.4562778,-71.30738884
133,mima,1,27742,MA,Minute Man National Historical Park,42.4562778,-71.30738884
134,mima,2,50337,MA,Minute Man National Historical Park,42.4562778,-71.30738884
135,mima,3,124123,MA,Minute Man National Historical Park,42.4562778,-71.30738884
136,mima,4,120867,MA,Minute Man National Historical Park,42.4562778,-71.30738884
137,mima,5,110580,MA,Minute Man National Historical Park,42.4562778,-71.30738884
138,mima,6,117180,MA,Minute Man National Historical Park,42.4562778,-71.30738884
139,mima,7,106075,MA,Minute Man National Historical Park,42.4562778,-71.30738884
140,mima,8,93288,MA,Minute Man National Historical Park,42.4562778,-71.30738884
141,mima,9,122114,MA,Minute Man National Historical Park,42.4562778,-71.30738884
142,mima,10,55468,MA,Minute Man National Historical Park,42.4562778,-71.30738884
143,mima,11,51904,MA,Minute Man National Historical Park,42.4562778,-71.30738884
144,nebe,0,3853,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
145,nebe,1,5903,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
146,nebe,2,7656,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
147,nebe,3,10776,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
148,nebe,4,12236,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
149,nebe,5,15416,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
150,nebe,6,21808,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
151,nebe,7,22492,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
152,nebe,8,13657,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
153,nebe,9,13748,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
154,nebe,10,7976,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
155,nebe,11,7906,MA,New Bedford Whaling National Historical Park,41.63540552,-70.92322321
156,sama,0,422,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
157,sama,1,4402,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
158,sama,2,7891,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
159,sama,3,14802,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
160,sama,4,20634,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
161,sama,5,36138,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
162,sama,6,45454,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
163,sama,7,40384,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
164,sama,8,36971,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
165,sama,9,113216,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
166,sama,10,14074,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
167,sama,11,4850,MA,Salem Maritime National Historic Site,42.52024529,-70.88640867
168,sair,0,150,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
169,sair,1,372,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
170,sair,2,481,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
171,sair,3,534,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
172,sair,4,375,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
173,sair,5,1342,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
174,sair,6,1195,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
175,sair,7,1434,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
176,sair,8,1230,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
177,sair,9,1037,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
178,sair,10,0,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
179,sair,11,0,MA,Saugus Iron Works National Historic Site,42.46830664,-71.0076953
180,spar,0,56,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
181,spar,1,981,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
182,spar,2,1277,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
183,spar,3,1316,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
184,spar,4,1448,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
185,spar,5,2744,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
186,spar,6,3203,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
187,spar,7,2660,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
188,spar,8,2698,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
189,spar,9,2247,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
190,spar,10,1382,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
191,spar,11,967,MA,Springfield Armory National Historic Site,42.1086368,-72.57967415
192,saga,0,195,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
193,saga,1,253,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
194,saga,2,260,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
195,saga,3,385,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
196,saga,4,1366,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
197,saga,5,4510,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
198,saga,6,5870,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
199,saga,7,8303,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
200,saga,8,5340,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
201,saga,9,4545,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
202,saga,10,510,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
203,saga,11,222,Saint-Gaudens National Historical Park,NH,43.4997238,-72.37333969
204,morr,0,628,NJ,Morristown National Historical Park,40.7650755,-74.53455122
205,morr,1,14567,NJ,Morristown National Historical Park,40.7650755,-74.53455122
206,morr,2,15397,NJ,Morristown National Historical Park,40.7650755,-74.53455122
207,morr,3,28313,NJ,Morristown National Historical Park,40.7650755,-74.53455122
208,morr,4,25772,NJ,Morristown National Historical Park,40.7650755,-74.53455122
209,morr,5,27103,NJ,Morristown National Historical Park,40.7650755,-74.53455122
210,morr,6,34704,NJ,Morristown National Historical Park,40.7650755,-74.53455122
211,morr,7,25948,NJ,Morristown National Historical Park,40.7650755,-74.53455122
212,morr,8,35543,NJ,Morristown National Historical Park,40.7650755,-74.53455122
213,morr,9,28944,NJ,Morristown National Historical Park,40.7650755,-74.53455122
214,morr,10,20415,NJ,Morristown National Historical Park,40.7650755,-74.53455122
215,morr,11,13996,NJ,Morristown National Historical Park,40.7650755,-74.53455122
216,pagr,0,6564,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
217,pagr,1,11456,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
218,pagr,2,10610,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
219,pagr,3,15608,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
220,pagr,4,13691,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
221,pagr,5,40051,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
222,pagr,6,42046,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
223,pagr,7,46204,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
224,pagr,8,51278,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
225,pagr,9,19210,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
226,pagr,10,15058,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
227,pagr,11,5209,NJ,Paterson Great Falls National Historical Park,40.91584645,-74.18021494
228,edis,0,1957,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
229,edis,1,1957,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
230,edis,2,2560,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
231,edis,3,3295,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
232,edis,4,3408,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
233,edis,5,4792,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
234,edis,6,5067,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
235,edis,7,6102,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
236,edis,8,2603,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
237,edis,9,3106,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
238,edis,10,4197,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
239,edis,11,3180,NJ,Thomas Edison National Historical Park,40.78549896,-74.23821139
240,afbg,0,96,NY,African Burial Ground National Monument,40.71452681,-74.00447358
241,afbg,1,1571,NY,African Burial Ground National Monument,40.71452681,-74.00447358
242,afbg,2,1395,NY,African Burial Ground National Monument,40.71452681,-74.00447358
243,afbg,3,5022,NY,African Burial Ground National Monument,40.71452681,-74.00447358
244,afbg,4,5482,NY,African Burial Ground National Monument,40.71452681,-74.00447358
245,afbg,5,4621,NY,African Burial Ground National Monument,40.71452681,-74.00447358
246,afbg,6,5520,NY,African Burial Ground National Monument,40.71452681,-74.00447358
247,afbg,7,4332,NY,African Burial Ground National Monument,40.71452681,-74.00447358
248,afbg,8,4384,NY,African Burial Ground National Monument,40.71452681,-74.00447358
249,afbg,9,8667,NY,African Burial Ground National Monument,40.71452681,-74.00447358
250,afbg,10,2058,NY,African Burial Ground National Monument,40.71452681,-74.00447358
251,afbg,11,4279,NY,African Burial Ground National Monument,40.71452681,-74.00447358
252,cacl,0,181143,NY,Castle Clinton National Monument,40.70347795,-74.01680558
253,cacl,1,193675,NY,Castle Clinton National Monument,40.70347795,-74.01680558
254,cacl,2,269440,NY,Castle Clinton National Monument,40.70347795,-74.01680558
255,cacl,3,412122,NY,Castle Clinton National Monument,40.70347795,-74.01680558
256,cacl,4,413828,NY,Castle Clinton National Monument,40.70347795,-74.01680558
257,cacl,5,468687,NY,Castle Clinton National Monument,40.70347795,-74.01680558
258,cacl,6,558814,NY,Castle Clinton National Monument,40.70347795,-74.01680558
259,cacl,7,550729,NY,Castle Clinton National Monument,40.70347795,-74.01680558
260,cacl,8,372332,NY,Castle Clinton National Monument,40.70347795,-74.01680558
261,cacl,9,375893,NY,Castle Clinton National Monument,40.70347795,-74.01680558
262,cacl,10,271108,NY,Castle Clinton National Monument,40.70347795,-74.01680558
263,cacl,11,293263,NY,Castle Clinton National Monument,40.70347795,-74.01680558
264,elro,0,88,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
265,elro,1,570,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
266,elro,2,1210,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
267,elro,3,2237,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
268,elro,4,4804,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
269,elro,5,6344,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
270,elro,6,6965,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
271,elro,7,6914,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
272,elro,8,7294,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
273,elro,9,8612,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
274,elro,10,1918,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
275,elro,11,674,NY,Eleanor Roosevelt National Historic Site,41.76208482,-73.89894026
276,feha,0,2720,NY,Federal Hall National Memorial,40.70731192,-74.01025636
277,feha,1,15121,NY,Federal Hall National Memorial,40.70731192,-74.01025636
278,feha,2,21239,NY,Federal Hall National Memorial,40.70731192,-74.01025636
279,feha,3,28577,NY,Federal Hall National Memorial,40.70731192,-74.01025636
280,feha,4,27693,NY,Federal Hall National Memorial,40.70731192,-74.01025636
281,feha,5,31307,NY,Federal Hall National Memorial,40.70731192,-74.01025636
282,feha,6,36042,NY,Federal Hall National Memorial,40.70731192,-74.01025636
283,feha,7,33851,NY,Federal Hall National Memorial,40.70731192,-74.01025636
284,feha,8,15888,NY,Federal Hall National Memorial,40.70731192,-74.01025636
285,feha,9,20505,NY,Federal Hall National Memorial,40.70731192,-74.01025636
286,feha,10,16351,NY,Federal Hall National Memorial,40.70731192,-74.01025636
287,feha,11,15555,NY,Federal Hall National Memorial,40.70731192,-74.01025636
288,fiis,0,4163,NY,Fire Island National Seashore,40.69668638,-73.00013462
289,fiis,1,8406,NY,Fire Island National Seashore,40.69668638,-73.00013462
290,fiis,2,10772,NY,Fire Island National Seashore,40.69668638,-73.00013462
291,fiis,3,13027,NY,Fire Island National Seashore,40.69668638,-73.00013462
292,fiis,4,28430,NY,Fire Island National Seashore,40.69668638,-73.00013462
293,fiis,5,46572,NY,Fire Island National Seashore,40.69668638,-73.00013462
294,fiis,6,80760,NY,Fire Island National Seashore,40.69668638,-73.00013462
295,fiis,7,99007,NY,Fire Island National Seashore,40.69668638,-73.00013462
