UnitCode,Month,Visitors
MORA,1,11743
MORA,2,32101
MORA,3,29632
MORA,4,106136
MORA,5,219641
MORA,6,365200
MORA,7,378305
MORA,8,184166
MORA,9,74355
MORA,10,48248
MORA,11,39161
NOCA,0,9
NOCA,1,0
NOCA,2,26
NOCA,3,44
NOCA,4,1241
NOCA,5,4520
NOCA,6,10656
NOCA,7,12576
NOCA,8,8581
NOCA,9,373
NOCA,10,101
NOCA,11,81
NPSA,0,792
NPSA,1,3772
NPSA,2,7152
NPSA,3,7452
NPSA,4,7772
NPSA,5,3464
NPSA,6,4059
NPSA,7,4650
NPSA,8,3933
NPSA,9,6900
NPSA,10,8456
NPSA,11,1604
OLYM,0,72725
OLYM,1,73756
OLYM,2,113720
OLYM,3,159983
OLYM,4,307426
OLYM,5,499728
OLYM,6,517058
OLYM,7,737996
OLYM,8,399907
OLYM,9,182944
OLYM,10,108204
OLYM,11,72359
PEFO,0,15341
PEFO,1,21342
PEFO,2,55187
PEFO,3,56567
PEFO,4,72802
PEFO,5,95451
PEFO,6,90546
PEFO,7,62276
PEFO,8,52525
PEFO,9,57019
PEFO,10,32092
PEFO,11,32440
PINN,0,1154
PINN,1,11735
PINN,2,24681
PINN,3,16234
PINN,4,19398
PINN,5,19061
PINN,6,13016
PINN,7,16795
PINN,8,14165
PINN,9,14084
PINN,10,14786
PINN,11,12115
REDW,0,17129
REDW,1,17768
REDW,2,30938
REDW,3,33179
REDW,4,62796
REDW,5,76137
REDW,6,69750
REDW,7,55227
REDW,8,55568
REDW,9,42048
REDW,10,24430
REDW,11,19752
ROMO,0,118152
ROMO,1,99873
ROMO,2,146414
ROMO,3,160259
ROMO,4,280351
ROMO,5,698224
ROMO,6,973992
ROMO,7,830039
ROMO,8,752320
ROMO,9,374003
ROMO,10,123376
ROMO,11,113050
SAGU,0,48968
SAGU,1,149371
SAGU,2,186275
SAGU,3,117802
SAGU,4,75838
SAGU,5,49481
SAGU,6,48553
SAGU,7,51309
SAGU,8,44812
SAGU,9,64529
SAGU,10,87053
SAGU,11,96235
SEQU,0,36024
SEQU,1,28737
SEQU,2,63343
SEQU,3,93054
SEQU,4,119816
SEQU,5,153882
SEQU,6,193633
SEQU,7,190139
SEQU,8,144639
SEQU,9,118187
SEQU,10,59502
SEQU,11,45097
SHEN,0,20245
SHEN,1,10264
SHEN,2,38601
SHEN,3,102672
SHEN,4,150297
SHEN,5,170492
SHEN,6,167335
SHEN,7,195579
SHEN,8,176271
SHEN,9,236554
SHEN,10,127014
SHEN,11,30183
THRO,0,2515
THRO,1,1187
THRO,2,5935
THRO,3,10516
THRO,4,75682
THRO,5,134590
THRO,6,149425
THRO,7,135584
THRO,8,110576
THRO,9,46043
THRO,10,17086
THRO,11,2519
VIIS,0,350
VIIS,1,5753
VIIS,2,5583
VIIS,3,13680
VIIS,4,10437
VIIS,5,10047
VIIS,6,8191
VIIS,7,18599
VIIS,8,7376
VIIS,9,13496
VIIS,10,16768
VIIS,11,23118
VOYA,0,4458
VOYA,1,7602
VOYA,2,3214
VOYA,3,213
VOYA,4,28198
VOYA,5,47387
VOYA,6,52031
VOYA,7,50586
VOYA,8,25517
VOYA,9,11047
VOYA,10,2472
VOYA,11,249
WHSA,0,4693
WHSA,1,35531
WHSA,2,83712
WHSA,3,62811
WHSA,4,64344
WHSA,5,62127
WHSA,6,66363
WHSA,7,48510
WHSA,8,43009
WHSA,9,50053
WHSA,10,38575
WHSA,11,49057
WICA,0,11431
WICA,1,14127
WICA,2,21375
WICA,3,54922
WICA,4,48780
WICA,5,125106
WICA,6,146531
WICA,7,92237
WICA,8,55196
WICA,9,23537
WICA,10,10950
WICA,11,11158
YELL,0,33896
YELL,1,31650
YELL,2,28695
YELL,3,48150
YELL,4,434385
YELL,5,781853
YELL,6,936062
YELL,7,820006
YELL,8,693118
YELL,9,171339
YELL,10,15628
YELL,11,25506
YOSE,0,116746
YOSE,1,111665
YOSE,2,173610
YOSE,3,297207
YOSE,4,393004
YOSE,5,496625
YOSE,6,717462
YOSE,7,703153
YOSE,8,584664
YOSE,9,448939
YOSE,10,230598
YOSE,11,149188
ZION,0,98828
ZION,1,102269
ZION,2,296316
ZION,3,372349
ZION,4,529553
ZION,5,594896
ZION,6,629802
ZION,7,535322
ZION,8,497443
ZION,9,429604
ZION,10,230180
ZION,11,171706
