UnitCode,Month,Visitors,StateCode,SpansStates,Park,Lat,Lon,Name,Population,Latitude,Longitude
MAPR,5,10875,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,5,10875,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,5,10875,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,5,10875,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,5,10875,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,5,10875,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,5,10875,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,5,10875,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,6,11624,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,6,11624,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,6,11624,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,6,11624,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,6,11624,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,6,11624,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,6,11624,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,6,11624,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,6,11624,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,7,9473,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,7,9473,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,7,9473,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,7,9473,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,7,9473,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,7,9473,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,7,9473,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,7,9473,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,7,9473,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,8,8055,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,8,8055,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,8,8055,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,8,8055,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,8,8055,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,8,8055,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,8,8055,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,8,8055,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,8,8055,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,9,8416,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,9,8416,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,9,8416,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,9,8416,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,9,8416,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,9,8416,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,9,8416,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,9,8416,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,9,8416,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,10,4766,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,10,4766,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,10,4766,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,10,4766,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,10,4766,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,10,4766,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,10,4766,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,10,4766,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,10,4766,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,11,2389,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,11,2389,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,11,2389,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,11,2389,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,11,2389,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,11,2389,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
MAPR,11,2389,NM,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,New Mexico,2084828.0,34.4071,-106.1126
MAPR,11,2389,WA,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Washington,7169967.0,47.3826,-120.4472
MAPR,11,2389,TN,3.0,Manhattan Project National Historical Park,39.76948167,-100.8429548,Tennessee,6597381.0,35.858000000000004,-86.3505
PECO,0,112,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,1,1309,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,2,3503,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,3,4010,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,4,4861,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,5,5173,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,6,6017,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,7,4628,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,8,4539,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,9,4811,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,10,2380,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PECO,11,2491,NM,1.0,Pecos National Historical Park,35.54192238,-105.6814684,New Mexico,2084828.0,34.4071,-106.1126
PETR,0,14959,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,1,18281,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,2,32242,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,3,32752,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,4,27970,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,5,26325,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,6,21602,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,7,19467,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,8,20587,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,9,36133,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,10,22300,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
PETR,11,21339,NM,1.0,Petroglyph National Monument,35.13915998,-106.7491456,New Mexico,2084828.0,34.4071,-106.1126
SAPU,0,419,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,1,2032,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,2,2569,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,3,2850,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,4,3707,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,5,3428,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,6,3050,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,7,2907,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,8,2599,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,9,4092,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,10,2144,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
SAPU,11,1875,NM,1.0,Salinas Pueblo Missions National Monument,34.35423203,-106.2050309,New Mexico,2084828.0,34.4071,-106.1126
WHSA,0,4693,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,1,35531,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,2,83712,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,3,62811,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,4,64344,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,5,62127,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,6,66363,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,7,48510,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,8,43009,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,9,50053,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,10,38575,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
WHSA,11,49057,NM,1.0,White Sands National Park,32.77907858,-106.3333461,New Mexico,2084828.0,34.4071,-106.1126
AFBG,0,96,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,1,1571,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,2,1395,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,3,5022,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
AFBG,4,5482,NY,1.0,African Burial Ground National Monument,40.71452681,-74.00447358,New York,19798228.0,42.9538,-75.5268
