UnitCode,Month,Visitors
TONT,1,4437
TONT,2,8322
TONT,3,4354
TONT,4,2593
TONT,5,965
TONT,6,0
TONT,7,86
TONT,8,1212
TONT,9,2009
TONT,10,2081
TONT,11,2327
TUMA,0,752
TUMA,1,5037
TUMA,2,6231
TUMA,3,4548
TUMA,4,3427
TUMA,5,1499
TUMA,6,1231
TUMA,7,1245
TUMA,8,1683
TUMA,9,2646
TUMA,10,3169
TUMA,11,8236
TUZI,0,1234
TUZI,1,7253
TUZI,2,14716
TUZI,3,12329
TUZI,4,10477
TUZI,5,6924
TUZI,6,6607
TUZI,7,5638
TUZI,8,7128
TUZI,9,10453
TUZI,10,8955
TUZI,11,6824
WACA,0,362
WACA,1,6467
WACA,2,19531
WACA,3,18723
WACA,4,12429
WACA,5,17327
WACA,6,18238
WACA,7,13506
WACA,8,13837
WACA,9,16227
WACA,10,11808
WACA,11,3878
WUPA,0,724
WUPA,1,4243
WUPA,2,17447
WUPA,3,14767
WUPA,4,14117
WUPA,5,27113
WUPA,6,26993
WUPA,7,24528
WUPA,8,24543
WUPA,9,15377
WUPA,10,9772
WUPA,11,7435
ARPO,0,546
ARPO,1,1495
ARPO,2,3595
ARPO,3,2241
ARPO,4,4855
ARPO,5,3790
ARPO,6,3792
ARPO,7,2122
ARPO,8,1718
ARPO,9,1747
ARPO,10,1392
ARPO,11,1226
BUFF,0,18144
BUFF,1,25119
BUFF,2,71116
BUFF,3,113657
BUFF,4,172613
BUFF,5,319042
BUFF,6,181692
BUFF,7,148993
BUFF,8,114939
BUFF,9,82878
BUFF,10,42257
BUFF,11,35832
CHSC,0,1704
CHSC,1,10758
CHSC,2,13502
CHSC,3,11136
CHSC,4,21234
CHSC,5,16339
CHSC,6,17368
CHSC,7,14386
CHSC,8,16843
CHSC,9,18133
CHSC,10,15253
CHSC,11,12262
FOSM,0,4466
FOSM,1,6794
FOSM,2,9386
FOSM,3,10101
FOSM,4,12288
FOSM,5,9941
FOSM,6,18522
FOSM,7,10692
FOSM,8,20064
FOSM,9,11030
FOSM,10,7169
FOSM,11,5047
HOSP,0,73964
HOSP,1,79322
HOSP,2,125290
HOSP,3,113397
HOSP,4,136514
HOSP,5,149049
HOSP,6,139005
HOSP,7,181982
HOSP,8,143915
HOSP,9,137861
HOSP,10,108534
HOSP,11,78320
PERI,0,3100
PERI,1,4679
PERI,2,10378
PERI,3,7822
PERI,4,12153
PERI,5,10564
PERI,6,12320
PERI,7,11040
PERI,8,9418
PERI,9,9278
PERI,10,7127
PERI,11,4874
WICL,0,43
WICL,1,303
WICL,2,1205
WICL,3,757
WICL,4,974
WICL,5,1011
WICL,6,1185
WICL,7,810
WICL,8,534
WICL,9,732
WICL,10,538
WICL,11,666
CABR,0,6806
CABR,1,56248
CABR,2,76140
CABR,3,72306
CABR,4,66020
CABR,5,70746
CABR,6,91365
CABR,7,77624
CABR,8,62052
CABR,9,58619
CABR,10,62287
CABR,11,61272
CECH,0,0
CECH,1,907
CECH,2,2503
CECH,3,1264
CECH,4,1342
CECH,5,1096
CECH,6,1630
CECH,7,1768
CECH,8,1798
CECH,9,1606
CECH,10,1312
CECH,11,1264
CHIS,0,9193
CHIS,1,22263
CHIS,2,34951
CHIS,3,39218
CHIS,4,39070
CHIS,5,44915
CHIS,6,47581
CHIS,7,49793
CHIS,8,38681
CHIS,9,36691
CHIS,10,25212
CHIS,11,22062
DEPO,0,0
DEPO,1,0
DEPO,2,0
DEPO,3,0
DEPO,4,0
DEPO,5,775
DEPO,6,45648
DEPO,7,44879
DEPO,8,31954
DEPO,9,24608
DEPO,10,0
DEPO,11,0
DEVA,0,111954
DEVA,1,112925
DEVA,2,178553
DEVA,3,177696
DEVA,4,155378
DEVA,5,122013
DEVA,6,142487
DEVA,7,165632
DEVA,8,168894
DEVA,9,138152
DEVA,10,132013
DEVA,11,135248
EUON,0,5
EUON,1,140
EUON,2,282
EUON,3,268
EUON,4,288
EUON,5,620
EUON,6,255
EUON,7,255
EUON,8,296
EUON,9,233
EUON,10,152
EUON,11,150
FOPO,0,40541
FOPO,1,57164
FOPO,2,125630
FOPO,3,197520
FOPO,4,149691
FOPO,5,147455
FOPO,6,153992
FOPO,7,154135
FOPO,8,117068
FOPO,9,106396
FOPO,10,86610
FOPO,11,85147
GOGA,0,858993
GOGA,1,1003946
GOGA,2,1351250
GOGA,3,1382599
GOGA,4,1232164
GOGA,5,1408780
GOGA,6,1371028
GOGA,7,1383260
GOGA,8,1479950
GOGA,9,1435037
GOGA,10,1109237
GOGA,11,985983
JOMU,0,1480
JOMU,1,2811
JOMU,2,4026
JOMU,3,5704
JOMU,4,3877
JOMU,5,3615
JOMU,6,4497
JOMU,7,3535
JOMU,8,3179
JOMU,9,2957
JOMU,10,2657
JOMU,11,2387
JOTR,0,195993
JOTR,1,261230
JOTR,2,469183
JOTR,3,374789
JOTR,4,250928
JOTR,5,187551
JOTR,6,138967
JOTR,7,120911
JOTR,8,160294
JOTR,9,233995
JOTR,10,291230
JOTR,11,303476
KICA,0,20295
KICA,1,9227
KICA,2,22067
KICA,3,41156
KICA,4,57345
KICA,5,90612
KICA,6,102440
KICA,7,113009
KICA,8,81206
KICA,9,55118
KICA,10,25439
KICA,11,14196
LABE,0,2394
LABE,1,3453
LABE,2,3762
LABE,3,6471
LABE,4,10068
LABE,5,12909
LABE,6,19440
LABE,7,16869
LABE,8,14139
LABE,9,10458
LABE,10,5860
LABE,11,3807
LAVO,0,8646
LAVO,1,6561
LAVO,2,7944
LAVO,3,12477
LAVO,4,25170
LAVO,5,63803
LAVO,6,105535
LAVO,7,98109
LAVO,8,75502
LAVO,9,88428
LAVO,10,12879
LAVO,11,11985
MANZ,0,3202
MANZ,1,3928
MANZ,2,7762
MANZ,3,11448
MANZ,4,9724
MANZ,5,10706
MANZ,6,11160
MANZ,7,10760
MANZ,8,9342
MANZ,9,9696
MANZ,10,5800
MANZ,11,3852
MOJA,0,50479
MOJA,1,51962
MOJA,2,71407
MOJA,3,74705
MOJA,4,66365
MOJA,5,66780
MOJA,6,59659
MOJA,7,74117
MOJA,8,66019
MOJA,9,67706
MOJA,10,90706
MOJA,11,101611
MUWO,0,28031
MUWO,1,37291
MUWO,2,65398
MUWO,3,74260
MUWO,4,70917
MUWO,5,93142
MUWO,6,114799
MUWO,7,102318
MUWO,8,71198
MUWO,9,53531
MUWO,10,52380
MUWO,11,48808
PINN,0,1154
PINN,1,11735
PINN,2,24681
PINN,3,16234
PINN,4,19398
PINN,5,19061
PINN,6,13016
PINN,7,16795
PINN,8,14165
PINN,9,14084
PINN,10,14786
PINN,11,12115
POCH,0,15
POCH,1,77
POCH,2,0
POCH,3,47
POCH,4,62
POCH,5,0
POCH,6,322
POCH,7,121
POCH,8,6
POCH,9,32
POCH,10,89
POCH,11,59
PORE,0,151683
PORE,1,164704
PORE,2,137162
PORE,3,231762
PORE,4,215032
PORE,5,223966
PORE,6,234944
PORE,7,239426
PORE,8,214052
PORE,9,133226
PORE,10,162712
PORE,11,156632
REDW,0,17129
REDW,1,17768
REDW,2,30938
REDW,3,33179
REDW,4,62796
REDW,5,76137
REDW,6,69750
REDW,7,55227
REDW,8,55568
REDW,9,42048
REDW,10,24430
REDW,11,19752
RORI,0,263
RORI,1,4372
RORI,2,5547
RORI,3,5833
RORI,4,4712
RORI,5,5102
RORI,6,4669
RORI,7,5580
RORI,8,3700
RORI,9,3294
RORI,10,4042
RORI,11,3290
SAFR,0,34396
SAFR,1,264354
SAFR,2,290964
SAFR,3,365334
SAFR,4,358395
SAFR,5,378036
SAFR,6,562111
SAFR,7,553994
