Name,Population,Latitude,Longitude,StateCode,FullName,UnitCode,UnitName
Arizona,6809946.0,34.2744,-111.6602,AZ,Lake Mead National Recreation Area,LAME,Lake Mead
Arizona,6809946.0,34.2744,-111.6602,AZ,Montezuma Castle National Monument,MOCA,Montezuma Castle
Arizona,6809946.0,34.2744,-111.6602,AZ,Navajo National Monument,NAVA,Navajo
Arizona,6809946.0,34.2744,-111.6602,AZ,Old Spanish National Historic Trail ,OLSP,Old Spanish
Arizona,6809946.0,34.2744,-111.6602,AZ,Organ Pipe Cactus National Monument,ORPI,Organ Pipe Cactus
Arizona,6809946.0,34.2744,-111.6602,AZ,Parashant National Monument,PARA,Parashant
Arizona,6809946.0,34.2744,-111.6602,AZ,Petrified Forest National Park,PEFO,Petrified Forest
Arizona,6809946.0,34.2744,-111.6602,AZ,Hohokam Pima National Monument,PIMA,Hohokam Pima
Arizona,6809946.0,34.2744,-111.6602,AZ,Pipe Spring National Monument,PISP,Pipe Spring
Arizona,6809946.0,34.2744,-111.6602,AZ,Saguaro National Park,SAGU,Saguaro
Arizona,6809946.0,34.2744,-111.6602,AZ,Sunset Crater Volcano National Monument,SUCR,Sunset Crater Volcano
Arizona,6809946.0,34.2744,-111.6602,AZ,Tonto National Monument,TONT,Tonto
Arizona,6809946.0,34.2744,-111.6602,AZ,Tumacacori National Historical Park,TUMA,Tumacacori
Arizona,6809946.0,34.2744,-111.6602,AZ,Tuzigoot National Monument,TUZI,Tuzigoot
Arizona,6809946.0,34.2744,-111.6602,AZ,Walnut Canyon National Monument,WACA,Walnut Canyon
Arizona,6809946.0,34.2744,-111.6602,AZ,Western Archeological and Conservation Center ,WACC,Western Archeological and Conservation Center
Arizona,6809946.0,34.2744,-111.6602,AZ,Wupatki National Monument,WUPA,Wupatki
Arkansas,2977944.0,34.8938,-92.4426,AR,Arkansas Post National Memorial,ARPO,Arkansas Post
Arkansas,2977944.0,34.8938,-92.4426,AR,Buffalo National River,BUFF,Buffalo
Arkansas,2977944.0,34.8938,-92.4426,AR,Central High School National Historic Site,CHSC,Central High School
